Country,Year,NationalCurrency,Value
Afghanistan,1995,Afghani (AFN),47.5
Afghanistan,2005,Afghani (AFN),50.4
Afghanistan,2010,Afghani (AFN),45.3
Afghanistan,2015,Afghani (AFN),68.1
Afghanistan,2020,Afghani (AFN),77.1
Albania,1995,Lek (ALL),94.2
Albania,2005,Lek (ALL),103.6
Albania,2010,Lek (ALL),104
Albania,2015,Lek (ALL),125.8
Albania,2020,Lek (ALL),100.8
Albania,2021,Lek (ALL),106.5
Albania,2022,Lek (ALL),107.1
Albania,2023,Lek (ALL),93.9
Algeria,1995,Algerian Dinar (DZD),52.2
Algeria,2005,Algerian Dinar (DZD),73.4
Algeria,2010,Algerian Dinar (DZD),74.9
Algeria,2015,Algerian Dinar (DZD),107.1
Algeria,2020,Algerian Dinar (DZD),132.1
Algeria,2021,Algerian Dinar (DZD),138.8
Algeria,2022,Algerian Dinar (DZD),137.2
Algeria,2023,Algerian Dinar (DZD),134.3
Andorra,2005,Euro (EUR),0.8
Andorra,2010,Euro (EUR),0.7
Andorra,2015,Euro (EUR),0.9
Andorra,2020,Euro (EUR),0.8
Andorra,2021,Euro (EUR),0.9
Andorra,2022,Euro (EUR),0.9
Andorra,2023,Euro (EUR),0.9
Angola,1995,Kwanza (AOA),0
Angola,2005,Kwanza (AOA),80.8
Angola,2010,Kwanza (AOA),92.6
Angola,2015,Kwanza (AOA),135.3
Angola,2020,Kwanza (AOA),656.2
Angola,2021,Kwanza (AOA),555
Angola,2022,Kwanza (AOA),503.7
Angola,2023,Kwanza (AOA),828.8
Anguilla,1995,E. Caribbean Dollar (XCD),2.7
Anguilla,2005,E. Caribbean Dollar (XCD),2.7
Anguilla,2010,E. Caribbean Dollar (XCD),2.7
Anguilla,2015,E. Caribbean Dollar (XCD),2.7
Anguilla,2020,E. Caribbean Dollar (XCD),2.7
Anguilla,2021,E. Caribbean Dollar (XCD),2.7
Anguilla,2022,E. Caribbean Dollar (XCD),2.7
Anguilla,2023,E. Caribbean Dollar (XCD),2.7
Antigua and Barbuda,1995,E. Caribbean Dollar (XCD),2.7
Antigua and Barbuda,2005,E. Caribbean Dollar (XCD),2.7
Antigua and Barbuda,2010,E. Caribbean Dollar (XCD),2.7
Antigua and Barbuda,2015,E. Caribbean Dollar (XCD),2.7
Antigua and Barbuda,2020,E. Caribbean Dollar (XCD),2.7
Antigua and Barbuda,2021,E. Caribbean Dollar (XCD),2.7
Antigua and Barbuda,2022,E. Caribbean Dollar (XCD),2.7
Antigua and Barbuda,2023,E. Caribbean Dollar (XCD),2.7
Argentina,1995,Argentine Peso (ARS),1
Argentina,2005,Argentine Peso (ARS),3
Argentina,2010,Argentine Peso (ARS),4
Argentina,2015,Argentine Peso (ARS),13.1
