Country,Year,Value
Afghanistan,2010,388
Afghanistan,2015,571
Afghanistan,2021,735
Afghanistan,2022,436
Afghanistan,2023,456
Albania,1995,202
Albania,2005,658
Albania,2010,1550
Albania,2015,1930
Albania,2021,3562
Albania,2022,4306
Albania,2023,4413
Algeria,1995,9357
Algeria,2005,46002
Algeria,2010,57051
Algeria,2015,34796
Algeria,2021,38435
Algeria,2022,65102
Algeria,2023,57360
Andorra,1995,48
Andorra,2005,143
Andorra,2010,92
Andorra,2015,90
Andorra,2021,164
Andorra,2022,386
Andorra,2023,252
Angola,1995,3592
Angola,2005,23835
Angola,2010,52612
Angola,2015,33925
Angola,2021,34472
Angola,2022,51275
Angola,2023,40327
Anguilla,1995,1
Anguilla,2005,7
Anguilla,2010,12
Anguilla,2015,37
Anguilla,2021,65
Anguilla,2022,66
Anguilla,2023,54
Antigua and Barbuda,1995,53
Antigua and Barbuda,2005,121
Antigua and Barbuda,2010,35
Antigua and Barbuda,2015,26
Antigua and Barbuda,2021,19
Antigua and Barbuda,2022,22
Antigua and Barbuda,2023,30
Argentina,1995,20963
Argentina,2005,40106
Argentina,2010,68174
Argentina,2015,56784
Argentina,2021,77934
Argentina,2022,88446
Argentina,2023,66789
Armenia,1995,271
Armenia,2005,937
Armenia,2010,1011
Armenia,2015,1483
Armenia,2021,2965
Armenia,2022,5364
Armenia,2023,8371
Aruba,1995,15
Aruba,2005,106
Aruba,2010,125
Aruba,2015,80
Aruba,2021,88
Aruba,2022,105
Aruba,2023,111
Australia,1995,52628
Australia,2005,106011
Australia,2010,212109
Australia,2015,187792
Australia,2021,342036
Australia,2022,410253
Australia,2023,369235
Austria,1995,53460
Austria,2005,117722
Austria,2010,144882
Austria,2015,145276
Austria,2021,194703
Austria,2022,203753
Austria,2023,215347
Azerbaijan,1995,637
Azerbaijan,2005,4347
Azerbaijan,2010,21278
Azerbaijan,2015,12646
Azerbaijan,2021,22208
Azerbaijan,2022,38146
Azerbaijan,2023,33899
Bahamas,1995,176
Bahamas,2005,271
Bahamas,2010,620
Bahamas,2015,443
Bahamas,2021,413
Bahamas,2022,574
Bahamas,2023,302
Bahrain,1995,3475
Bahrain,2005,10239
Bahrain,2010,16059
Bahrain,2015,13882
Bahrain,2021,18199
Bahrain,2022,22252
Bahrain,2023,19475
Bangladesh,1995,3407
Bangladesh,2005,9332
Bangladesh,2010,19231
Bangladesh,2015,31734
Bangladesh,2021,37849
Bangladesh,2022,46851
Bangladesh,2023,38769
Barbados,1995,238
Barbados,2005,361
Barbados,2010,314
Barbados,2015,483
Barbados,2021,350
Barbados,2022,498
Barbados,2023,476
Belarus,1995,4623
Belarus,2005,15977
Belarus,2010,25283
Belarus,2015,26660
Belarus,2021,39889
Belarus,2022,34174
Belarus,2023,26521
Belgium,1995,168154
Belgium,2005,335692
Belgium,2010,407596
Belgium,2015,253411
Belgium,2021,385980
Belgium,2022,463782
Belgium,2023,393158
Belize,1995,162
Belize,2005,208
Belize,2010,282
Belize,2015,314
Belize,2021,264
Belize,2022,286
Belize,2023,253
Benin,1995,415
Benin,2005,288
Benin,2010,534
Benin,2015,625
Benin,2021,1026
Benin,2022,899
Benin,2023,1052
Bermuda,1995,63
Bermuda,2005,49
Bermuda,2010,15
Bermuda,2015,9
Bermuda,2021,29
Bermuda,2022,34
Bermuda,2023,41
Bhutan,1995,103
Bhutan,2005,258
Bhutan,2010,413
Bhutan,2015,782
Bhutan,2021,670
Bhutan,2022,657
Bhutan,2023,778
Bolivia (Plurin. State of),1995,1181
Bolivia (Plurin. State of),2005,2797
Bolivia (Plurin. State of),2010,7051
Bolivia (Plurin. State of),2015,8923
Bolivia (Plurin. State of),2021,11080
Bolivia (Plurin. State of),2022,13653
Bolivia (Plurin. State of),2023,10919
Bosnia and Herzegovina,1995,152
Bosnia and Herzegovina,2005,2388
Bosnia and Herzegovina,2010,4803
Bosnia and Herzegovina,2015,5099
Bosnia and Herzegovina,2021,8614
Bosnia and Herzegovina,2022,9678
Bosnia and Herzegovina,2023,9228
Botswana,2005,4431
Botswana,2010,4693
Botswana,2015,6330
Botswana,2021,7475
Botswana,2022,8415
Botswana,2023,5503
Brazil,1995,46505
Brazil,2005,118529
Brazil,2010,201915
Brazil,2015,186775
Brazil,2021,280815
Brazil,2022,334463
Brazil,2023,339696
British Virgin Islands,1995,11
British Virgin Islands,2005,0
British Virgin Islands,2010,0
British Virgin Islands,2015,0
British Virgin Islands,2021,0
British Virgin Islands,2022,0
Brunei Darussalam,1995,2379
Brunei Darussalam,2005,6242
Brunei Darussalam,2010,8908
Brunei Darussalam,2015,6353
Brunei Darussalam,2021,11058
Brunei Darussalam,2022,14230
Brunei Darussalam,2023,11241
Bulgaria,1995,5220
Bulgaria,2005,11739
Bulgaria,2010,20608
Bulgaria,2015,25779
Bulgaria,2021,41371
Bulgaria,2022,50250
Bulgaria,2023,47901
Burkina Faso,1995,171
Burkina Faso,2005,332
Burkina Faso,2010,1288
Burkina Faso,2015,2217
Burkina Faso,2021,5060
Burkina Faso,2022,4556
Burkina Faso,2023,4459
Burundi,1995,179
Burundi,2005,114
Burundi,2010,118
Burundi,2015,114
Burundi,2021,164
Burundi,2022,208
