Country,Year,Value
Afghanistan,2023,396.0159968
Afghanistan,2022,349.3198352
Afghanistan,2021,379.01911
Afghanistan,2020,511.4801749
Afghanistan,2019,511.7364887
Afghanistan,2018,513.1943308
Albania,2023,8172.294966
Albania,2022,6689.887324
Albania,2021,6292.231862
Albania,2020,5279.587886
Albania,2019,5338.568035
Albania,2018,5236.771954
Algeria,2023,5364.027937
Algeria,2022,4961.552577
Algeria,2021,4160.569792
Algeria,2020,3609.615148
Algeria,2019,4143.420975
Algeria,2018,4115.062948
Andorra,2023,46812.44845
Andorra,2022,42414.05901
Andorra,2021,42425.62826
Andorra,2020,37361.04351
Andorra,2019,41257.83811
Andorra,2018,42819.76872
Angola,2023,2464.010769
Angola,2022,3179.559204
Angola,2021,2024.349752
Angola,2020,1638.840796
Angola,2019,2567.880142
Angola,2018,3238.416118
Anguilla,2023,28850.47082
Anguilla,2022,27431.03322
Anguilla,2021,21086.59446
Anguilla,2020,17609.35879
Anguilla,2019,25611.69154
Anguilla,2018,21650.62222
Antigua and Barbuda,2023,21787.10173
Antigua and Barbuda,2022,20118.24405
Antigua and Barbuda,2021,17341.62234
Antigua and Barbuda,2020,15359.84954
Antigua and Barbuda,2019,18882.54876
Antigua and Barbuda,2018,18272.89754
Argentina,2023,14187.48274
Argentina,2022,13935.67578
Argentina,2021,10738.01796
Argentina,2020,8535.59942
Argentina,2019,9955.974856
Argentina,2018,11752.80003
Armenia,2023,8228.118818
Armenia,2022,6773.526946
Armenia,2021,4835.271803
Armenia,2020,4372.940461
Armenia,2019,4689.883561
Armenia,2018,4281.130771
Aruba,2023,33802.17657
Aruba,2022,30425.70692
Aruba,2021,27235.97109
Aruba,2020,23108.53932
Aruba,2019,31713.91239
Aruba,2018,30781.94864
Australia,2023,67128.63065
Australia,2022,67972.12655
Australia,2021,67440.57645
Australia,2020,55758.83456
Australia,2019,54059.53163
Australia,2018,57920.55036
Austria,2023,56041.7483
Austria,2022,52045.27749
Austria,2021,53581.35198
Austria,2020,48691.61321
Austria,2019,49880.62466
Austria,2018,51187.53796
Azerbaijan,2023,7012.47576
Azerbaijan,2022,7654.700686
Azerbaijan,2021,5356.988892
Azerbaijan,2020,4193.098815
Azerbaijan,2019,4764.784572
Azerbaijan,2018,4692.578973
Bahamas,2023,35896.43695
Bahamas,2022,33044.34729
Bahamas,2021,28682.39103
Bahamas,2020,25155.65825
Bahamas,2019,32979.53003
Bahamas,2018,32124.42242
Bahrain,2023,28453.47527
Bahrain,2022,28935.59107
Bahrain,2021,26114.50211
Bahrain,2020,23298.31256
Bahrain,2019,26017.70474
Bahrain,2018,25241.18952
Bangladesh,2023,2463.628461
Bangladesh,2022,2555.753629
Bangladesh,2021,2474.709644
Bangladesh,2020,2246.33829
Bangladesh,2019,2119.139268
Bangladesh,2018,1933.705875
Barbados,2023,23804.02497
Barbados,2022,22164.02597
Barbados,2021,18696.78589
Barbados,2020,18347.1109
Barbados,2019,20583.72658
Barbados,2018,20055.91579
Belarus,2023,7882.833433
Belarus,2022,8042.43501
Belarus,2021,7531.18763
Belarus,2020,6563.152698
Belarus,2019,6826.422906
Belarus,2018,6332.365027
Belgium,2023,55048.97523
Belgium,2022,50974.74626
Belgium,2021,51724.31989
Belgium,2020,45900.30868
Belgium,2019,46709.96324
Belgium,2018,47480.76545
Belize,2023,7488.589135
Belize,2022,7050.931406
Belize,2021,6154.321985
Belize,2020,5259.118918
Belize,2019,6226.975681
Belize,2018,6070.03993
Benin,2023,1394.177399
Benin,2022,1266.428052
Benin,2021,1318.651581
Benin,2020,1200.194266
Benin,2019,1130.744542
Benin,2018,1151.74097
Bermuda,2023,125841.6025
Bermuda,2022,120897.3132
Bermuda,2021,112756.5977
Bermuda,2020,106973.1721
Bermuda,2019,115798.0387
Bermuda,2018,113204.8204
Bhutan,2023,3839.329336
Bhutan,2022,3711.327699
Bhutan,2021,3570.612588
Bhutan,2020,3191.669075
Bhutan,2019,3576.879894
Bhutan,2018,3400.204167
Bolivia (Plurinational State of),2023,3686.279965
Bolivia (Plurinational State of),2022,3643.92827
Bolivia (Plurinational State of),2021,3384.844865
Bolivia (Plurinational State of),2020,3099.94219
Bolivia (Plurinational State of),2019,3503.896011
Bolivia (Plurinational State of),2018,3500.726422
Bosnia and Herzegovina,2023,8638.667156
Bosnia and Herzegovina,2022,7655.594716
Bosnia and Herzegovina,2021,7295.343143
Bosnia and Herzegovina,2020,6130.309591
Bosnia and Herzegovina,2019,6122.373792
Bosnia and Herzegovina,2018,6047.845469
Botswana,2023,7820.103638
Botswana,2022,8329.040097
Botswana,2021,7808.206005
Botswana,2020,6310.522461
Botswana,2019,7159.266913
Botswana,2018,7407.942571
Brazil,2023,10377.58977
Brazil,2022,9281.332821
Brazil,2021,7972.536961
Brazil,2020,7074.194075
Brazil,2019,9029.833044
Brazil,2018,9300.660729
British Virgin Islands,2023,38626.55142
British Virgin Islands,2022,38394.35416
British Virgin Islands,2021,38618.22545
British Virgin Islands,2020,38474.48499
British Virgin Islands,2019,41588.95453
British Virgin Islands,2018,40017.8896
Brunei Darussalam,2023,32962.9163
Brunei Darussalam,2022,36632.91751
Brunei Darussalam,2021,31006.96448
Brunei Darussalam,2020,26834.35089
Brunei Darussalam,2019,30426.58387
Brunei Darussalam,2018,30988.12903
Bulgaria,2023,15067.66149
Bulgaria,2022,13259.75044
Bulgaria,2021,12274.44541
Bulgaria,2020,10175.10524
Bulgaria,2019,9839.340966
Bulgaria,2018,9431.174422
Burkina Faso,2023,882.6898098
Burkina Faso,2022,836.1183047
Burkina Faso,2021,895.5352883
Burkina Faso,2020,825.2370394
Burkina Faso,2019,764.8530775
Burkina Faso,2018,777.465618
Burundi,2023,289.296489
Burundi,2022,328.8727161
Burundi,2021,288.6433265
Burundi,2020,273.548529
Burundi,2019,274.8626192
Burundi,2018,279.7195902
Cabo Verde,2023,4961.171707
Cabo Verde,2022,4432.473136
Cabo Verde,2021,3971.444074
Cabo Verde,2020,3539.22662
Cabo Verde,2019,4380.781192
Cabo Verde,2018,4294.965105
Cambodia,2023,2457.781914
Cambodia,2022,2303.000654
Cambodia,2021,2130.482833
Cambodia,2020,2057.819952
Cambodia,2019,2183.27502
Cambodia,2018,2015.651716
Cameroon,2023,1736.86091
Cameroon,2022,1604.87727
Cameroon,2021,1672.326305
Cameroon,2020,1555.603708
Cameroon,2019,1555.352806
Cameroon,2018,1611.433721
Canada,2023,54517.04089
Canada,2022,55677.82769
Canada,2021,52204.43142
Canada,2020,43374.45579
Canada,2019,46151.13102
Canada,2018,46260.89348
Cayman Islands,2023,97582.74475
Cayman Islands,2022,92202.14834
Cayman Islands,2021,86438.4451
Cayman Islands,2020,82338.79715
Cayman Islands,2019,88254.29124
Cayman Islands,2018,83865.55498
Central African Republic,2023,495.9788972
Central African Republic,2022,467.3598251
Central African Republic,2021,492.2631428
Central African Republic,2020,462.8790717
Central African Republic,2019,449.2284675
Central African Republic,2018,455.2438481
Chad,2023,913.2519025
Chad,2022,881.2264095
Chad,2021,895.2693454
Chad,2020,849.2044833
Chad,2019,896.0613087
Chad,2018,950.8406952
Chile,2023,17067.81362
Chile,2022,15451.13197
Chile,2021,16223.35383
Chile,2020,13106.45462
Chile,2019,14490.22333
Chile,2018,15635.40251
China (mainland),2023,12508.76621
China (mainland),2022,12547.03862
China (mainland),2021,12492.98497
China (mainland),2020,10299.19417
China (mainland),2019,10031.44661
China (mainland),2018,9791.979809
"China, Hong Kong SAR",2023,51165.63599
"China, Hong Kong SAR",2022,48042.48127
"China, Hong Kong SAR",2021,49295.102
"China, Hong Kong SAR",2020,46052.08331
"China, Hong Kong SAR",2019,48501.68719
"China, Hong Kong SAR",2018,48416.76859
"China, Macao Special Administrative Region",2023,64157.86185
"China, Macao Special Administrative Region",2022,35492.15626
"China, Macao Special Administrative Region",2021,44598.56923
"China, Macao Special Administrative Region",2020,37102.54807
"China, Macao Special Administrative Region",2019,82093.03426
"China, Macao Special Administrative Region",2018,83778.08785
Colombia,2023,6948.242917
Colombia,2022,6674.59602
Colombia,2021,6222.621645
Colombia,2020,5339.687113
Colombia,2019,6472.54545
Colombia,2018,6816.968183
Comoros,2023,1702.630215
Comoros,2022,1552.50377
Comoros,2021,1584.124501
Comoros,2020,1525.719872
Comoros,2019,1519.263863
Comoros,2018,1540.711323
Congo,2023,2291.271039
Congo,2022,2309.403996
Congo,2021,2270.844393
Congo,2020,1993.58679
Congo,2019,2488.424587
Congo,2018,2694.43413
Cook Islands,2023,25749.65182
Cook Islands,2022,19680.06835
Cook Islands,2021,16268.48471
Cook Islands,2020,18116.38414
Cook Islands,2019,22121.36649
Cook Islands,2018,21855.48938
Costa Rica,2023,16942.02683
Costa Rica,2022,13625.90086
Costa Rica,2021,12838.11854
Costa Rica,2020,12394.0494
Costa Rica,2019,12884.686
Costa Rica,2018,12590.24937
Côte d'Ivoire,2023,2528.065957
Côte d'Ivoire,2022,2308.706547
Côte d'Ivoire,2021,2455.981276
Côte d'Ivoire,2020,2179.72935
Côte d'Ivoire,2019,2141.771751
Côte d'Ivoire,2018,2130.866192
Croatia,2023,21660.90184
Croatia,2022,18211.85367
Croatia,2021,17612.15349
Croatia,2020,14620.6211
Croatia,2019,15670.32127
Croatia,2018,15567.59119
Cuba,2023,18329.15271
Cuba,2022,13301.60921
Cuba,2021,11391.08911
Cuba,2020,9605.279146
Cuba,2019,9232.296865
Cuba,2018,8911.458845
Curaçao,2023,17696.55631
Curaçao,2022,16591.65791
Curaçao,2021,14783.44635
Curaçao,2020,13697.73532
Curaçao,2019,15965.36995
Curaçao,2018,16776.70718
Cyprus,2023,37077.43499
Cyprus,2022,34238.96499
Cyprus,2021,33898.04928
Cyprus,2020,28778.03488
Cyprus,2019,29908.36964
Cyprus,2018,29600.008
Czechia,2023,31749.94371
Czechia,2022,28279.32211
Czechia,2021,27630.94421
Czechia,2020,23801.57253
Czechia,2019,24329.44104
Czechia,2018,23887.93873
