Country,Year,Value
Afghanistan,2010,5154
Afghanistan,2015,7723
Afghanistan,2021,5161
Afghanistan,2022,4881
Afghanistan,2023,4793
Albania,1995,713
Albania,2005,2614
Albania,2010,4603
Albania,2015,4320
Albania,2021,7735
Albania,2022,8407
Albania,2023,9015
Algeria,1995,10782
Algeria,2005,20357
Algeria,2010,41000
Algeria,2015,51803
Algeria,2021,39434
Algeria,2022,40905
Algeria,2023,44564
Andorra,1995,1025
Andorra,2005,1796
Andorra,2010,1541
Andorra,2015,1294
Andorra,2021,1563
Andorra,2022,1864
Andorra,2023,1995
Angola,1995,1466
Angola,2005,8321
Angola,2010,18143
Angola,2015,21549
Angola,2021,11379
Angola,2022,17803
Angola,2023,22050
Anguilla,1995,53
Anguilla,2005,133
Anguilla,2010,149
Anguilla,2015,407
Anguilla,2021,1608
Anguilla,2022,1678
Anguilla,2023,1591
Antigua and Barbuda,1995,344
Antigua and Barbuda,2005,525
Antigua and Barbuda,2010,501
Antigua and Barbuda,2015,465
Antigua and Barbuda,2021,480
Antigua and Barbuda,2022,623
Antigua and Barbuda,2023,670
Argentina,1995,20122
Argentina,2005,28689
Argentina,2010,56792
Argentina,2015,60203
Argentina,2021,63184
Argentina,2022,81523
Argentina,2023,73714
Armenia,1995,674
Armenia,2005,1692
Armenia,2010,3782
Armenia,2015,3257
Armenia,2021,5324
Armenia,2022,8650
Armenia,2023,12022
Aruba,1995,566
Aruba,2005,1030
Aruba,2010,1071
Aruba,2015,1165
Aruba,2021,1170
Aruba,2022,1473
Aruba,2023,1537
Australia,1995,57381
Australia,2005,125221
Australia,2010,201703
Australia,2015,200114
Australia,2021,261586
Australia,2022,309300
Australia,2023,287861
Austria,1995,66331
Austria,2005,119950
Austria,2010,150593
Austria,2015,147928
Austria,2021,210913
Austria,2022,226475
Austria,2023,218239
Azerbaijan,1995,666
Azerbaijan,2005,4211
Azerbaijan,2010,6597
Azerbaijan,2015,9214
Azerbaijan,2021,11696
Azerbaijan,2022,14536
Azerbaijan,2023,17278
Bahamas,1995,1243
Bahamas,2005,2567
Bahamas,2010,2862
Bahamas,2015,3161
Bahamas,2021,2551
Bahamas,2022,3758
Bahamas,2023,3590
Bahrain,1995,3679
Bahrain,2005,9339
Bahrain,2010,16002
Bahrain,2015,16390
Bahrain,2021,14135
Bahrain,2022,15535
Bahrain,2023,15364
Bangladesh,1995,5438
Bangladesh,2005,12631
Bangladesh,2010,30504
Bangladesh,2015,48059
Bangladesh,2021,67283
Bangladesh,2022,80162
Bangladesh,2023,61598
Barbados,1995,766
Barbados,2005,1672
Barbados,2010,1196
Barbados,2015,1618
Barbados,2021,1673
Barbados,2022,2151
Barbados,2023,2143
Belarus,1995,5382
Belarus,2005,16699
Belarus,2010,34884
Belarus,2015,30291
Belarus,2021,41811
Belarus,2022,45419
Belarus,2023,59713
Belgium,1995,153388
Belgium,2005,319085
Belgium,2010,391256
Belgium,2015,258593
Belgium,2021,393948
Belgium,2022,464277
Belgium,2023,415137
Belize,1995,259
Belize,2005,439
Belize,2010,700
Belize,2015,996
Belize,2021,1060
Belize,2022,1378
Belize,2023,1337
Benin,1995,745
Benin,2005,899
Benin,2010,2134
Benin,2015,2547
Benin,2021,3422
Benin,2022,3846
Benin,2023,3905
Bermuda,1995,633
Bermuda,2005,988
Bermuda,2010,970
Bermuda,2015,929
Bermuda,2021,1055
Bermuda,2022,1192
Bermuda,2023,937
Bhutan,1995,113
Bhutan,2005,387
Bhutan,2010,854
Bhutan,2015,1753
Bhutan,2021,3476
Bhutan,2022,4105
Bhutan,2023,3654
Bolivia (Plurin. State of),1995,1396
Bolivia (Plurin. State of),2005,2343
Bolivia (Plurin. State of),2010,5604
Bolivia (Plurin. State of),2015,9843
Bolivia (Plurin. State of),2021,9618
Bolivia (Plurin. State of),2022,13049
Bolivia (Plurin. State of),2023,11489
Bosnia and Herzegovina,1995,1068
Bosnia and Herzegovina,2005,7054
Bosnia and Herzegovina,2010,9223
Bosnia and Herzegovina,2015,8994
Bosnia and Herzegovina,2021,13029
Bosnia and Herzegovina,2022,15380
Bosnia and Herzegovina,2023,15349
Botswana,2005,3162
Botswana,2010,5657
Botswana,2015,8048
Botswana,2021,8463
Botswana,2022,8115
Botswana,2023,6417
Brazil,1995,53734
Brazil,2005,73600
Brazil,2010,181768
Brazil,2015,180457
Brazil,2021,234690
Brazil,2022,292344
Brazil,2023,252710
British Virgin Islands,1995,122
British Virgin Islands,2005,227
British Virgin Islands,2010,313
British Virgin Islands,2015,429
British Virgin Islands,2021,628
British Virgin Islands,2022,669
Brunei Darussalam,1995,2078
Brunei Darussalam,2005,1447
Brunei Darussalam,2010,2539
Brunei Darussalam,2015,3229
Brunei Darussalam,2021,8575
Brunei Darussalam,2022,9184
Brunei Darussalam,2023,7484
Bulgaria,1995,5469
Bulgaria,2005,18162
Bulgaria,2010,25360
Bulgaria,2015,29265
Bulgaria,2021,46396
Bulgaria,2022,58092
Bulgaria,2023,53529
Burkina Faso,1995,484
Burkina Faso,2005,1161
Burkina Faso,2010,2048
Burkina Faso,2015,3069
Burkina Faso,2021,4710
Burkina Faso,2022,5647
Burkina Faso,2023,5880
Burundi,1995,270
Burundi,2005,258
Burundi,2010,404
Burundi,2015,561
Burundi,2021,1025
Burundi,2022,1260
Burundi,2023,1193
Cabo Verde,1995,252
Cabo Verde,2005,438
Cabo Verde,2010,731
Cabo Verde,2015,603
Cabo Verde,2021,764
Cabo Verde,2022,832
Cabo Verde,2023,928
Cambodia,1995,217
Cambodia,2005,2552
Cambodia,2010,4903
Cambodia,2015,10669
Cambodia,2021,28703
Cambodia,2022,29942
Cambodia,2023,23139
Cameroon,1995,1079
Cameroon,2005,2800
Cameroon,2010,5133
Cameroon,2015,6037
Cameroon,2021,6966
Cameroon,2022,7423
Cameroon,2023,8915
Canada,1995,164371
Canada,2005,314444
Canada,2010,392109
Canada,2015,419375
Canada,2021,491401
Canada,2022,571579
Canada,2023,558455
Cayman Islands,1995,390
Cayman Islands,2005,1191
Cayman Islands,2010,828
Cayman Islands,2015,915
Cayman Islands,2021,1538
Central African Republic,1995,265
Central African Republic,2005,185
Central African Republic,2010,210
Central African Republic,2015,457
Central African Republic,2021,485
Central African Republic,2022,623
Central African Republic,2023,543
Chad,1995,214
Chad,2005,953
Chad,2010,2507
Chad,2015,900
Chad,2021,1083
Chad,2022,1276
Chad,2023,1399
Chile,1995,14903
Chile,2005,32927
Chile,2010,59007
Chile,2015,62319
Chile,2021,92191
Chile,2022,104606
Chile,2023,85505
China,1995,131353
China,2005,659953
China,2010,1396002
China,2015,1679564
China,2021,2679412
China,2022,2715998
China,2023,2556763
"China, Hong Kong SAR",1995,196072
"China, Hong Kong SAR",2005,300160
"China, Hong Kong SAR",2010,441369
"China, Hong Kong SAR",2015,559306
"China, Hong Kong SAR",2021,713173
"China, Hong Kong SAR",2022,668483
"China, Hong Kong SAR",2023,654824
"China, Macao SAR",1995,2025
"China, Macao SAR",2005,4514
"China, Macao SAR",2010,5629
"China, Macao SAR",2015,10603
"China, Macao SAR",2021,19347
"China, Macao SAR",2022,17431
"China, Macao SAR",2023,17561
Colombia,1995,13883
Colombia,2005,21204
Colombia,2010,40683
Colombia,2015,54036
Colombia,2021,61099
Colombia,2022,77410
Colombia,2023,63026
Comoros,1995,62
Comoros,2005,85
Comoros,2010,181
Comoros,2015,214
Comoros,2021,326
Comoros,2022,391
Comoros,2023,387
Congo,1995,556
Congo,2005,1342
Congo,2010,4369
Congo,2015,10550
Congo,2021,2352
Congo,2022,2966
Congo,2023,3612
Cook Islands,1995,49
Cook Islands,2005,81
Cook Islands,2010,91
Cook Islands,2015,109
Cook Islands,2021,66
Cook Islands,2022,42
Costa Rica,1995,3205
Costa Rica,2005,9173
Costa Rica,2010,13920
Costa Rica,2015,15504
Costa Rica,2021,18428
Costa Rica,2022,21140
Costa Rica,2023,21919
Cote d Ivoire,2023,19683
Croatia,1995,7509
Croatia,2005,18560
Croatia,2010,20067
Croatia,2015,20580
Croatia,2021,33735
Croatia,2022,44115
Croatia,2023,42553
Cuba,1995,2874
Cuba,2005,8084
Cuba,2010,11488
Cuba,2015,8418
Cuba,2021,7182
Cuba,2022,7090
Cuba,2023,7496
Cyprus,1995,3694
Cyprus,2005,6382
Cyprus,2010,8645
Cyprus,2015,7139
Cyprus,2021,10319
Cyprus,2022,11889
Cyprus,2023,14001
Czechia,1995,25303
Czechia,2005,76527
Czechia,2010,125691
Czechia,2015,140716
Czechia,2021,212481
Czechia,2022,236320
Czechia,2023,228913
Dem. People's Rep. Korea,1995,3122
Dem. People's Rep. Korea,2005,1466
Dem. People's Rep. Korea,2010,1957
Dem. People's Rep. Korea,2015,3714
Dem. People's Rep. Korea,2021,729
Dem. People's Rep. Korea,2022,1402
Dem. People's Rep. Korea,2023,2595
Dem. Rep. of the Congo,1995,869
Dem. Rep. of the Congo,2005,2268
Dem. Rep. of the Congo,2010,4500
Dem. Rep. of the Congo,2015,8068
Dem. Rep. of the Congo,2021,7214
Dem. Rep. of the Congo,2022,11407
Dem. Rep. of the Congo,2023,13525
Denmark,1995,43142
Denmark,2005,72716
Denmark,2010,82724
Denmark,2015,85327
Denmark,2021,120260
Denmark,2022,127078
Denmark,2023,126397
Djibouti,1995,176
Djibouti,2005,277
Djibouti,2010,603
Djibouti,2015,1024
Djibouti,2021,1476
Djibouti,2022,1754
Djibouti,2023,1845
Dominica,1995,117
Dominica,2005,165
Dominica,2010,225
Dominica,2015,201
Dominica,2021,190
Dominica,2022,129
Dominica,2023,191
Dominican Republic,1995,3155
Dominican Republic,2005,6804
Dominican Republic,2010,15138
Dominican Republic,2015,18687
Dominican Republic,2021,27614
Dominican Republic,2022,29955
Dominican Republic,2023,27497
Ecuador,1995,4195
Ecuador,2005,9609
Ecuador,2010,20591
Ecuador,2015,21387
Ecuador,2021,25687
Ecuador,2022,33049
Ecuador,2023,30909
Egypt,1995,11739
Egypt,2005,19812
Egypt,2010,53003
Egypt,2015,73998
Egypt,2021,89206
Egypt,2022,96189
Egypt,2023,83159
El Salvador,1995,2628
El Salvador,2005,6809
El Salvador,2010,8416
El Salvador,2015,10293
El Salvador,2021,14617
El Salvador,2022,17108
El Salvador,2023,15651
Equatorial Guinea,1995,50
Equatorial Guinea,2005,1309
Equatorial Guinea,2010,5679
Equatorial Guinea,2015,1832
Equatorial Guinea,2021,923
Equatorial Guinea,2022,1188
Equatorial Guinea,2023,1143
Eritrea,1995,432
Eritrea,2005,503
Eritrea,2010,1187
Eritrea,2015,447
Eritrea,2021,362
Eritrea,2022,508
Eritrea,2023,492
Estonia,1995,2546
Estonia,2005,11018
Estonia,2010,13197
Estonia,2015,15732
Estonia,2021,24203
Estonia,2022,27536
Estonia,2023,23437
Eswatini,2005,1656
Eswatini,2010,1710
Eswatini,2015,1508
Eswatini,2021,2123
Eswatini,2022,2408
Eswatini,2023,2323
Ethiopia,1995,1141
Ethiopia,2005,4095
Ethiopia,2010,8602
Ethiopia,2015,17686
Ethiopia,2021,15285
Ethiopia,2022,16538
Falkland Islands (Malvinas),1995,27
Falkland Islands (Malvinas),2005,8
Falkland Islands (Malvinas),2010,50
Falkland Islands (Malvinas),2015,269
Falkland Islands (Malvinas),2021,151
Falkland Islands (Malvinas),2022,117
Falkland Islands (Malvinas),2023,199
Faroe Islands,1995,314
Faroe Islands,2005,747
Faroe Islands,2010,780
Faroe Islands,2015,1225
Faroe Islands,2021,1555
Faroe Islands,2022,1968
Faroe Islands,2023,1944
Fiji,1995,891
Fiji,2005,1607
Fiji,2010,1808
Fiji,2015,2268
Fiji,2021,2116
Fiji,2022,2997
Fiji,2023,3088
Finland,1995,29520
Finland,2005,58473
Finland,2010,68767
Finland,2015,60174
Finland,2021,86264
Finland,2022,97374
Finland,2023,82725
France,1995,273387
France,2005,475857
France,2010,599172
France,2015,563398
France,2021,715859
France,2022,819398
France,2023,777132
French Guiana,1995,783
French Polynesia,1995,848
French Polynesia,2005,1702
French Polynesia,2010,1726
French Polynesia,2015,1527
French Polynesia,2021,2003
French Polynesia,2022,2220
French Polynesia,2023,2157
Gabon,1995,884
Gabon,2005,1451
Gabon,2010,2969
Gabon,2015,6121
Gabon,2021,3646
Gabon,2022,4301
Gabon,2023,5075
Gambia,1995,215
Gambia,2005,260
Gambia,2010,284
Gambia,2015,391
Gambia,2021,708
Gambia,2022,705
Gambia,2023,759
Georgia,1995,396
Georgia,2005,2490
Georgia,2010,5236
Georgia,2015,7304
Georgia,2021,10099
Georgia,2022,13548
Georgia,2023,15591
Germany,1995,464145
Germany,2005,779819
Germany,2010,1060672
Germany,2015,1057536
Germany,2021,1424675
Germany,2022,1588853
Germany,2023,1469329
Ghana,1995,1897
Ghana,2005,4878
Ghana,2010,8057
Ghana,2015,14687
Ghana,2021,17848
Ghana,2022,17963
Ghana,2023,16394
Gibraltar,1995,408
Gibraltar,2005,501
Gibraltar,2010,627
Gibraltar,2015,9603
Gibraltar,2021,8791
Gibraltar,2022,12417
Gibraltar,2023,11191
Greece,1995,25805
Greece,2005,54894
Greece,2010,66453
Greece,2015,47264
Greece,2021,77285
Greece,2022,97970
Greece,2023,88606
Greenland,1995,421
Greenland,2005,700
Greenland,2010,847
Greenland,2015,667
Greenland,2021,1021
Greenland,2022,1060
Greenland,2023,1205
Grenada,1995,129
Grenada,2005,334
Grenada,2010,306
Grenada,2015,351
Grenada,2021,447
Grenada,2022,589
