Country,Year,Value
Albania,2010,2191.00
Albania,2020,2604.00
Albania,2021,5515.00
Albania,2022,7105.00
Algeria,1995,520.00
Algeria,2005,1443.00
Algeria,2010,2070.00
Algeria,2020,591.00
Algeria,2021,125.00
Algeria,2022,1398.00
American Samoa,1995,34.00
American Samoa,2005,25.00
American Samoa,2010,23.00
American Samoa,2020,1.00
Andorra,2005,2418.00
Andorra,2010,1808.00
Andorra,2020,1872.00
Andorra,2021,1949.00
Andorra,2022,3555.00
Angola,1995,9.00
Angola,2005,210.00
Angola,2010,425.00
Angola,2020,64.00
Angola,2021,64.00
Angola,2022,130.00
Anguilla,1995,39.00
Anguilla,2005,62.00
Anguilla,2010,62.00
Anguilla,2020,25.00
Anguilla,2021,28.00
Anguilla,2022,74.00
Antigua and Barbuda,1995,220.00
Antigua and Barbuda,2005,245.00
Antigua and Barbuda,2010,230.00
Antigua and Barbuda,2020,125.00
Antigua and Barbuda,2021,169.00
Antigua and Barbuda,2022,265.00
Argentina,1995,2289.00
Argentina,2005,3823.00
Argentina,2010,6800.00
Argentina,2020,2090.00
Argentina,2021,297.00
Argentina,2022,3890.00
Armenia,1995,12.00
Armenia,2005,319.00
Armenia,2010,684.00
Armenia,2020,375.00
Armenia,2021,870.00
Armenia,2022,1666.00
Aruba,1995,619.00
Aruba,2005,733.00
Aruba,2010,824.00
Aruba,2020,368.00
Aruba,2021,807.00
Aruba,2022,1101.00
Australia,1995,3726.00
Australia,2005,5499.00
Australia,2010,5790.00
Australia,2020,1828.00
Australia,2021,246.00
Australia,2022,3694.00
Austria,1995,17173.00
Austria,2005,19952.00
Austria,2010,22004.00
Austria,2020,15091.00
Austria,2021,12728.00
Austria,2022,26215.00
Azerbaijan,2005,693.00
Azerbaijan,2010,1280.00
Azerbaijan,2020,587.00
Azerbaijan,2022,1508.00
Bahamas,1995,1598.00
Bahamas,2005,1625.00
Bahamas,2010,1378.00
Bahamas,2020,441.00
Bahamas,2021,892.00
Bahamas,2022,1452.00
Bahrain,1995,2311.00
Bahrain,2005,6313.00
Bahrain,2010,11952.00
Bahrain,2020,1909.00
Bahrain,2021,3612.00
Bahrain,2022,9949.00
Bangladesh,1995,156.00
Bangladesh,2005,208.00
Bangladesh,2010,139.00
Bangladesh,2020,182.00
Bangladesh,2021,135.00
Barbados,1995,442.00
Barbados,2005,548.00
Barbados,2010,532.00
Barbados,2020,207.00
Barbados,2021,145.00
Barbados,2022,540.00
Belarus,2005,4738.00
Belarus,2010,5674.00
Belarus,2020,3598.00
Belarus,2021,3361.00
Belarus,2022,4920.00
Belgium,1995,5560.00
Belgium,2005,6747.00
Belgium,2010,7186.00
Belgium,2020,2584.00
Belgium,2021,3243.00
Belgium,2022,8220.00
Belize,1995,131.00
Belize,2005,237.00
Belize,2010,242.00
Belize,2020,144.00
Belize,2021,219.00
Belize,2022,373.00
Benin,1995,138.00
Benin,2005,176.00
Benin,2010,199.00
Benin,2020,325.00
Bermuda,1995,387.00
Bermuda,2005,270.00
Bermuda,2010,232.00
Bermuda,2020,42.00
Bermuda,2021,72.00
Bermuda,2022,146.00
Bhutan,1995,5.00
Bhutan,2005,14.00
Bhutan,2010,41.00
Bhutan,2020,30.00
Bhutan,2021,0.00
Bhutan,2022,21.00
Bolivia (Plurin. State of),1995,284.00
Bolivia (Plurin. State of),2005,524.00
Bolivia (Plurin. State of),2010,679.00
Bolivia (Plurin. State of),2020,323.00
Bolivia (Plurin. State of),2021,180.00
Bolivia (Plurin. State of),2022,724.00
Bonaire,1995,59.00
Bonaire,2005,63.00
Bonaire,2010,71.00
Bosnia and Herzegovina,2005,217.00
Bosnia and Herzegovina,2010,365.00
Bosnia and Herzegovina,2020,197.00
Bosnia and Herzegovina,2021,502.00
Bosnia and Herzegovina,2022,915.00
Botswana,1995,521.00
Botswana,2005,1474.00
Botswana,2010,1973.00
Botswana,2020,329.00
Botswana,2021,314.00
Brazil,1995,1991.00
Brazil,2005,5358.00
Brazil,2010,5161.00
Brazil,2020,2146.00
Brazil,2021,746.00
Brazil,2022,3630.00
British Virgin Islands,1995,219.00
British Virgin Islands,2005,337.00
British Virgin Islands,2010,330.00
British Virgin Islands,2020,83.00
British Virgin Islands,2021,56.00
British Virgin Islands,2022,173.00
Brunei Darussalam,2005,126.00
Brunei Darussalam,2010,214.00
Brunei Darussalam,2020,62.00
Brunei Darussalam,2021,4.00
Bulgaria,1995,3466.00
Bulgaria,2005,4837.00
Bulgaria,2010,6047.00
Bulgaria,2020,1290.00
Bulgaria,2021,2300.00
Bulgaria,2022,5557.00
Burkina Faso,1995,124.00
Burkina Faso,2005,245.00
Burkina Faso,2010,274.00
Burkina Faso,2020,67.00
Burkina Faso,2021,106.00
Burkina Faso,2022,116.00
Burundi,1995,34.00
Burundi,2005,148.00
Burundi,2010,142.00
Cabo Verde,1995,28.00
Cabo Verde,2005,198.00
Cabo Verde,2010,336.00
Cabo Verde,2020,180.00
Cabo Verde,2021,135.00
Cabo Verde,2022,785.00
Cambodia,1995,220.00
Cambodia,2005,1422.00
Cambodia,2010,2508.00
Cambodia,2020,1306.00
Cambodia,2021,196.00
Cambodia,2022,2277.00
Cameroon,1995,100.00
Cameroon,2005,176.00
Cameroon,2010,569.00
Canada,1995,16968.00
Canada,2005,18771.00
Canada,2010,16219.00
Canada,2020,2960.00
Canada,2021,3062.00
Canada,2022,12824.00
Cayman Islands,1995,361.00
Cayman Islands,2005,168.00
Cayman Islands,2010,288.00
Cayman Islands,2020,122.00
Cayman Islands,2021,17.00
Cayman Islands,2022,284.00
Central African Republic,1995,26.00
Central African Republic,2005,12.00
Central African Republic,2010,54.00
Central African Republic,2020,35.00
Chad,1995,19.00
Chad,2005,29.00
Chad,2010,71.00
Chad,2020,11.00
Chad,2021,40.00
Chile,1995,1540.00
Chile,2005,2027.00
Chile,2010,2801.00
Chile,2020,1119.00
Chile,2021,190.00
Chile,2022,2030.00
China,1995,20034.00
China,2005,46809.00
China,2010,55664.00
China,2020,7967.00
"China, Hong Kong SAR",1995,8007.00
"China, Hong Kong SAR",2005,14773.00
"China, Hong Kong SAR",2010,20085.00
"China, Hong Kong SAR",2020,1359.00
"China, Hong Kong SAR",2021,89.00
"China, Hong Kong SAR",2022,568.00
"China, Macao SAR",1995,4202.00
"China, Macao SAR",2005,9014.00
"China, Macao SAR",2010,11926.00
"China, Macao SAR",2020,2822.00
"China, Macao SAR",2021,3697.00
"China, Macao SAR",2022,2484.00
Colombia,1995,1399.00
Colombia,2005,933.00
Colombia,2010,1405.00
Colombia,2020,1252.00
Colombia,2021,2127.00
Colombia,2022,4519.00
Comoros,1995,23.00
Comoros,2005,26.00
Comoros,2010,15.00
Comoros,2020,7.00
Comoros,2021,29.00
Congo,1995,37.00
Congo,2005,35.00
Congo,2010,194.00
Cook Islands,1995,48.00
Cook Islands,2005,88.00
Cook Islands,2010,104.00
Cook Islands,2020,25.00
Cook Islands,2021,26.00
Cook Islands,2022,114.00
Costa Rica,1995,785.00
Costa Rica,2005,1679.00
Costa Rica,2010,2100.00
Costa Rica,2020,1012.00
Costa Rica,2021,1347.00
Costa Rica,2022,2350.00
Côte d’Ivoire,1995,188.00
Côte d’Ivoire,2010,252.00
Côte d’Ivoire,2020,668.00
Côte d’Ivoire,2021,576.00
Côte d’Ivoire,2022,2047.00
Croatia,1995,1485.00
Croatia,2005,7743.00
Croatia,2010,9111.00
Croatia,2020,5545.00
Croatia,2021,10641.00
Croatia,2022,15324.00
Cuba,1995,742.00
Cuba,2005,2261.00
Cuba,2010,2507.00
Cuba,2020,1085.00
Cuba,2021,356.00
Cuba,2022,1613.00
Curaçao,1995,224.00
Curaçao,2005,222.00
Curaçao,2010,342.00
Curaçao,2020,175.00
Curaçao,2021,265.00
Curaçao,2022,490.00
Cyprus,1995,2100.00
Cyprus,2005,2470.00
Cyprus,2010,2173.00
Cyprus,2020,632.00
Cyprus,2021,1937.00
Czechia,1995,3381.00
Czechia,2005,9404.00
Czechia,2010,8629.00
Czechia,2020,3919.00
Czechia,2021,3768.00
Dem. Rep. of the Congo,1995,35.00
Dem. Rep. of the Congo,2005,61.00
Dem. Rep. of the Congo,2010,81.00
Dem. Rep. of the Congo,2020,202.00
Dem. Rep. of the Congo,2021,382.00
Denmark,2005,26927.00
Denmark,2010,26730.00
Denmark,2020,16031.00
Denmark,2021,18372.00
Denmark,2022,31530.00
Djibouti,1995,21.00
Djibouti,2005,30.00
Djibouti,2010,51.00
Djibouti,2020,75.00
Djibouti,2021,114.00
Djibouti,2022,145.00
Dominica,1995,60.00
Dominica,2005,79.00
Dominica,2010,77.00
Dominica,2020,22.00
Dominica,2021,15.00
Dominica,2022,61.00
Dominican Republic,1995,1776.00
Dominican Republic,2005,3691.00
Dominican Republic,2010,4125.00
Dominican Republic,2020,2405.00
Dominican Republic,2021,4994.00
Dominican Republic,2022,7163.00
Ecuador,1995,440.00
Ecuador,2005,860.00
Ecuador,2010,1047.00
Ecuador,2020,507.00
Ecuador,2021,669.00
Ecuador,2022,1265.00
Egypt,1995,3133.00
Egypt,2005,8608.00
Egypt,2010,14731.00
Egypt,2020,3677.00
Egypt,2021,7998.00
Egypt,2022,11724.00
El Salvador,1995,235.00
El Salvador,2005,1127.00
El Salvador,2010,1150.00
El Salvador,2020,549.00
El Salvador,2021,1219.00
El Salvador,2022,1891.00
Eritrea,1995,315.00
Eritrea,2005,83.00
Eritrea,2010,84.00
Estonia,1995,530.00
Estonia,2005,1917.00
Estonia,2010,2511.00
Estonia,2020,1023.00
Estonia,2021,808.00
Estonia,2022,2166.00
Eswatini,1995,300.00
Eswatini,2005,837.00
Eswatini,2010,868.00
Eswatini,2020,194.00
Eswatini,2021,170.00
Eswatini,2022,393.00
Ethiopia,1995,103.00
Ethiopia,2005,227.00
Ethiopia,2010,468.00
Ethiopia,2020,271.00
Ethiopia,2021,518.00
Ethiopia,2022,897.00
Fiji,1995,318.00
Fiji,2005,545.00
Fiji,2010,632.00
Fiji,2020,147.00
Fiji,2021,32.00
Fiji,2022,636.00
Finland,1995,1779.00
Finland,2005,3140.00
Finland,2010,3670.00
Finland,2020,896.00
Finland,2021,807.00
Finland,2022,2127.00
France,1995,60033.00
France,2005,74988.00
France,2010,76647.00
France,2020,41684.00
France,2021,48395.00
French Guiana,2005,95.00
French Polynesia,1995,172.00
French Polynesia,2005,208.00
French Polynesia,2010,154.00
French Polynesia,2020,77.00
French Polynesia,2021,83.00
French Polynesia,2022,219.00
Gabon,1995,125.00
Gabon,2005,269.00
Gambia,1995,45.00
Gambia,2005,108.00
Gambia,2010,91.00
Gambia,2020,246.00
Gambia,2021,332.00
Gambia,2022,570.00
Georgia,2010,1067.00
Georgia,2020,1087.00
Georgia,2021,1577.00
Georgia,2022,3653.00
Germany,1995,14847.00
Germany,2005,21500.00
Germany,2010,26875.00
Germany,2020,12449.00
Germany,2021,11688.00
Germany,2022,28463.00
Ghana,1995,286.00
Ghana,2005,429.00
Ghana,2010,931.00
Ghana,2020,355.00
Ghana,2021,624.00
Ghana,2022,915.00
Greece,1995,10130.00
Greece,2005,14765.00
Greece,2010,15007.00
Greece,2020,7374.00
Greece,2021,14705.00
Greece,2022,27836.00
Grenada,1995,108.00
Grenada,2005,99.00
Grenada,2010,110.00
Grenada,2020,54.00
Grenada,2021,47.00
Grenada,2022,149.00
Guadeloupe,1995,640.00
Guadeloupe,2005,372.00
Guadeloupe,2010,392.00
Guam,1995,1362.00
Guam,2005,1228.00
Guam,2010,1197.00
Guam,2020,328.00
Guam,2021,79.00
Guam,2022,328.00
Guatemala,2010,1119.00
Guatemala,2020,396.00
Guatemala,2021,602.00
Guatemala,2022,1494.00
Guinea,2005,45.00
Guinea,2010,12.00
Guinea-Bissau,2005,5.00
Guinea-Bissau,2010,22.00
Guyana,1995,106.00
Guyana,2005,117.00
Guyana,2010,152.00
Guyana,2020,87.00
Guyana,2021,158.00
Guyana,2022,288.00
Haiti,1995,145.00
Haiti,2005,112.00
Haiti,2010,255.00
Haiti,2020,203.00
Haiti,2021,148.00
Honduras,1995,271.00
Honduras,2005,673.00
Honduras,2010,863.00
Honduras,2020,204.00
Honduras,2021,459.00
Honduras,2022,844.00
Hungary,1995,2878.00
Hungary,2005,9979.00
Hungary,2010,9510.00
Hungary,2020,7417.00
Hungary,2021,7929.00
Hungary,2022,12649.00
Iceland,1995,190.00
Iceland,2005,374.00
Iceland,2010,489.00
Iceland,2020,486.00
Iceland,2021,698.00
India,1995,2124.00
India,2005,3919.00
India,2010,5776.00
India,2020,6291.00
India,2021,6989.00
Indonesia,2020,3915.00
Indonesia,2021,1546.00
Iran (Islamic Republic of),1995,452.00
Iran (Islamic Republic of),2005,1889.00
Iran (Islamic Republic of),2010,2938.00
Iran (Islamic Republic of),2020,1550.00
Iran (Islamic Republic of),2021,989.00
Iran (Islamic Republic of),2022,4108.00
Iraq,1995,61.00
Iraq,2010,1518.00
Ireland,1995,4818.00
Ireland,2005,7333.00
Ireland,2010,7134.00
Israel,1995,2215.00
Israel,2005,1903.00
Israel,2010,2803.00
Israel,2020,831.00
Israel,2021,397.00
Israel,2022,2675.00
Italy,1995,31052.00
Italy,2005,36513.00
Italy,2010,43626.00
Italy,2020,25190.00
Italy,2021,26888.00
Italy,2022,49811.00
Jamaica,1995,1147.00
Jamaica,2005,1479.00
Jamaica,2010,1922.00
Jamaica,2020,880.00
Jamaica,2021,1464.00
Jamaica,2022,2478.00
Japan,1995,3345.00
Japan,2005,6728.00
Japan,2010,8611.00
Japan,2020,4116.00
Japan,2021,246.00
Japan,2022,3832.00
Jordan,1995,1075.00
Jordan,2005,2987.00
Jordan,2010,4207.00
Jordan,2020,1067.00
Jordan,2021,2012.00
Jordan,2022,4277.00
Kazakhstan,2005,4365.00
Kazakhstan,2010,4097.00
Kazakhstan,2020,2035.00
Kazakhstan,2021,1330.00
Kazakhstan,2022,4729.00
Kenya,1995,918.00
Kenya,2005,1399.00
Kenya,2010,1470.00
Kiribati,1995,4.00
Kiribati,2005,4.00
Kiribati,2010,5.00
Kiribati,2020,1.00
Kiribati,2021,0.00
Kiribati,2022,2.00
Kuwait,1995,72.00
Kuwait,2005,104.00
Kuwait,2010,207.00
Kuwait,2020,86.00
Kuwait,2021,85.00
Kyrgyzstan,2005,319.00
Kyrgyzstan,2010,1224.00
Kyrgyzstan,2020,2079.00
Kyrgyzstan,2021,3169.00
Kyrgyzstan,2022,6901.00
Lao People's Dem. Rep.,1995,60.00
Lao People's Dem. Rep.,2005,672.00
Lao People's Dem. Rep.,2010,1670.00
Lao People's Dem. Rep.,2020,812.00
Latvia,1995,539.00
Latvia,2005,1116.00
Latvia,2010,1373.00
Latvia,2020,636.00
Latvia,2021,478.00
Lebanon,1995,450.00
Lebanon,2005,1140.00
Lebanon,2010,2168.00
Lebanon,2020,414.00
Lebanon,2021,890.00
Lebanon,2022,1466.00
Lesotho,1995,87.00
Lesotho,2010,414.00
Libya,1995,56.00
Libya,2005,81.00
