Country,Year,Value
Afghanistan,2010,147
Afghanistan,2020,75
Albania,1995,70
Albania,2005,880
Albania,2010,1778
Albania,2020,1243
Albania,2021,2480
Albania,2022,3255
Algeria,2005,477
Algeria,2010,324
Algeria,2020,50
Algeria,2021,79
Algeria,2022,219
Andorra,2020,1351
Andorra,2021,1893
Angola,1995,27
Angola,2005,103
Angola,2010,726
Angola,2020,19
Angola,2021,23
Angola,2022,24
Anguilla,1995,50
Anguilla,2005,86
Anguilla,2010,99
Anguilla,2020,48
Anguilla,2021,59
Anguilla,2022,134
Antigua and Barbuda,1995,247
Antigua and Barbuda,2005,309
Antigua and Barbuda,2010,298
Antigua and Barbuda,2020,412
Antigua and Barbuda,2021,539
Antigua and Barbuda,2022,773
Argentina,1995,2550
Argentina,2005,3209
Argentina,2010,5605
Argentina,2020,1793
Argentina,2021,433
Argentina,2022,3694
Armenia,1995,14
Armenia,2005,243
Armenia,2010,694
Armenia,2020,297
Armenia,2021,813
Armenia,2022,2513
Aruba,1995,554
Aruba,2005,1097
Aruba,2010,1254
Aruba,2020,1079
Aruba,2021,1788
Aruba,2022,2305
Australia,1995,10370
Australia,2005,19719
Australia,2010,31064
Australia,2020,26235
Australia,2021,17132
Australia,2022,24214
Austria,1995,13435
Austria,2005,16243
Austria,2010,18751
Austria,2020,13706
Austria,2021,9841
Austria,2022,19175
Azerbaijan,1995,87
Azerbaijan,2005,100
Azerbaijan,2010,792
Azerbaijan,2020,340
Azerbaijan,2021,368
Azerbaijan,2022,942
Bahamas,1995,1356
Bahamas,2005,2081
Bahamas,2010,2159
Bahamas,2020,972
Bahamas,2021,2334
Bahamas,2022,3524
Bahrain,1995,593
Bahrain,2005,1603
Bahrain,2010,2163
Bahrain,2020,724
Bahrain,2021,1886
Bahrain,2022,3886
Bangladesh,2005,82
Bangladesh,2010,103
Bangladesh,2020,218
Bangladesh,2021,273
Bangladesh,2022,420
Barbados,1995,628
Barbados,2005,905
Barbados,2010,1041
Barbados,2020,578
Barbados,2021,627
Barbados,2022,929
Belarus,1995,28
Belarus,2005,346
Belarus,2010,665
Belarus,2020,546
Belarus,2021,662
Belgium,2005,10881
Belgium,2010,12680
Belgium,2020,7227
Belgium,2021,7336
Belgium,2022,8737
Belize,1995,78
Belize,2005,214
Belize,2010,264
Belize,2020,247
Belize,2021,374
Belize,2022,599
Benin,2005,108
Benin,2010,149
Benin,2020,203
Benin,2021,247
Bermuda,1995,488
Bermuda,2005,429
Bermuda,2010,442
Bermuda,2020,94
Bermuda,2021,143
Bhutan,1995,5
Bhutan,2005,19
Bhutan,2010,64
Bhutan,2020,84
Bhutan,2021,4
Bhutan,2022,0
Bolivia (Plurin. State of),1995,92
Bolivia (Plurin. State of),2005,345
Bolivia (Plurin. State of),2010,339
Bolivia (Plurin. State of),2020,240
Bolivia (Plurin. State of),2021,269
Bolivia (Plurin. State of),2022,706
Bonaire,1995,37
Bonaire,2005,87
Bosnia and Herzegovina,2005,557
Bosnia and Herzegovina,2010,662
Bosnia and Herzegovina,2020,443
Bosnia and Herzegovina,2021,1003
Bosnia and Herzegovina,2022,1464
Botswana,1995,176
Botswana,2005,563
Botswana,2010,440
Botswana,2020,117
Botswana,2021,275
Botswana,2022,374
Brazil,1995,1085
Brazil,2005,4168
Brazil,2010,5522
Brazil,2020,3099
Brazil,2021,3005
Brazil,2022,4968
British Virgin Islands,1995,211
British Virgin Islands,2005,412
British Virgin Islands,2010,389
Brunei Darussalam,2005,191
Brunei Darussalam,2020,38
Brunei Darussalam,2021,2
Brunei Darussalam,2022,14
Bulgaria,1995,662
Bulgaria,2005,3063
Bulgaria,2010,3807
Bulgaria,2020,1861
Bulgaria,2021,2734
Bulgaria,2022,3701
Burkina Faso,2005,46
Burkina Faso,2010,105
Burkina Faso,2020,128
Burkina Faso,2021,145
Burundi,1995,2
Burundi,2005,2
Burundi,2010,2
Cabo Verde,1995,29
Cabo Verde,2005,177
Cabo Verde,2010,387
Cabo Verde,2020,169
Cabo Verde,2021,145
Cabo Verde,2022,400
Cambodia,1995,71
Cambodia,2005,929
Cambodia,2010,1671
Cambodia,2020,1119
Cambodia,2021,197
Cambodia,2022,1529
Cameroon,1995,75
Cameroon,2005,229
Cameroon,2010,171
Cameroon,2020,437
Cameroon,2021,554
Cameroon,2022,545
Canada,1995,9176
Canada,2005,15891
Canada,2010,18440
Cayman Islands,1995,394
Cayman Islands,2005,356
Cayman Islands,2010,465
Cayman Islands,2020,260
Cayman Islands,2021,46
Central African Republic,1995,4
Central African Republic,2005,7
Central African Republic,2010,14
Central African Republic,2020,31
Chad,1995,43
Chile,1995,1186
Chile,2005,1608
Chile,2010,2362
Chile,2020,841
Chile,2021,535
Chile,2022,1907
China,1995,8730
China,2005,29296
China,2010,45814
China,2020,9951
China,2021,11330
China,2022,9583
"China, Hong Kong SAR",2005,13588
"China, Hong Kong SAR",2010,27208
"China, Macao SAR",2005,7181
"China, Macao SAR",2010,22688
"China, Macao SAR",2020,9321
"China, Macao SAR",2021,15672
"China, Macao SAR",2022,9064
Colombia,1995,887
Colombia,2005,1891
Colombia,2010,3473
Colombia,2020,1932
Colombia,2021,3239
Colombia,2022,7321
Comoros,1995,22
Comoros,2005,24
Comoros,2010,35
Comoros,2020,19
Comoros,2021,72
Comoros,2022,85
Congo,1995,15
Congo,2010,39
Congo,2020,6
Cook Islands,1995,28
Cook Islands,2005,91
Cook Islands,2010,111
Cook Islands,2020,37
Cook Islands,2021,43
Costa Rica,1995,763
Costa Rica,2005,2008
Costa Rica,2010,2426
Costa Rica,2020,1464
Costa Rica,2021,1834
Costa Rica,2022,3256
Côte d’Ivoire,1995,103
Côte d’Ivoire,2005,93
Côte d’Ivoire,2010,213
Côte d’Ivoire,2020,199
Côte d’Ivoire,2021,315
Croatia,2020,5551
Croatia,2021,10891
Croatia,2022,13628
Cuba,1995,1100
Cuba,2005,2591
Cuba,2010,2396
Cuba,2020,1152
Cuba,2021,417
Cuba,2022,1050
Curaçao,1995,175
Curaçao,2005,244
Curaçao,2010,438
Curaçao,2020,282
Curaçao,2021,553
Curaçao,2022,995
Cyprus,1995,2018
Cyprus,2005,2644
Cyprus,2010,2137
Cyprus,2020,734
Cyprus,2021,2090
Cyprus,2022,2835
Czechia,2005,5772
Czechia,2010,8068
Czechia,2020,3853
Czechia,2021,3358
Czechia,2022,5283
Dem. Rep. of the Congo,2005,3
Dem. Rep. of the Congo,2010,11
Dem. Rep. of the Congo,2020,81
Dem. Rep. of the Congo,2021,108
Denmark,1995,3691
Denmark,2005,5293
Denmark,2010,5704
Denmark,2020,3966
Denmark,2021,4473
Denmark,2022,8912
Djibouti,1995,5
Djibouti,2005,7
Djibouti,2010,18
Djibouti,2020,30
Djibouti,2021,38
Djibouti,2022,46
Dominica,1995,42
Dominica,2005,57
Dominica,2010,94
Dominica,2020,30
Dominica,2021,23
Dominica,2022,91
Dominican Republic,1995,1571
Dominican Republic,2005,3518
Dominican Republic,2010,4162
Dominican Republic,2020,2675
Dominican Republic,2021,5697
Dominican Republic,2022,8406
Ecuador,1995,315
Ecuador,2005,488
Ecuador,2010,786
Ecuador,2020,704
Ecuador,2021,1060
Ecuador,2022,1802
Egypt,1995,2954
Egypt,2005,7206
Egypt,2010,13633
Egypt,2020,4874
Egypt,2021,9499
Egypt,2022,13625
El Salvador,1995,152
El Salvador,2005,656
El Salvador,2010,646
El Salvador,2020,755
El Salvador,2021,1225
El Salvador,2022,2235
Equatorial Guinea,1995,1
Eritrea,1995,58
Eritrea,2005,66
Estonia,1995,452
Estonia,2005,1229
Estonia,2020,833
Estonia,2021,904
Estonia,2022,1630
Eswatini,1995,54
Eswatini,2005,77
Eswatini,2010,51
Eswatini,2020,7
Eswatini,2021,8
Eswatini,2022,12
Ethiopia,1995,177
Ethiopia,2005,533
Ethiopia,2010,1434
Ethiopia,2020,2282
Ethiopia,2021,2601
Ethiopia,2022,3883
Fiji,1995,369
Fiji,2005,722
Fiji,2010,825
Fiji,2020,237
Fiji,2021,66
Fiji,2022,1069
Finland,1995,2383
Finland,2005,3069
Finland,2010,4496
Finland,2020,1757
Finland,2021,1541
Finland,2022,3557
France,1995,31295
France,2005,52126
France,2010,56178
France,2020,35796
France,2021,44665
France,2022,67369
French Guiana,2005,44
French Polynesia,1995,326
French Polynesia,2005,759
French Polynesia,2010,630
Gabon,1995,94
Gabon,2005,13
Gabon,2010,89
Gambia,2005,59
Gambia,2010,80
Gambia,2020,53
Gambia,2021,67
Gambia,2022,164
Georgia,2005,287
Georgia,2010,737
Georgia,2020,586
Georgia,2021,1351
Georgia,2022,3782
Germany,1995,24053
Germany,2005,40518
Germany,2010,49116
Germany,2020,22068
Germany,2021,22137
Germany,2022,31257
Ghana,1995,30
Ghana,2005,867
Ghana,2010,706
Ghana,2020,191
Ghana,2021,664
Ghana,2022,895
Greece,1995,4182
Greece,2005,13455
Greece,2010,13857
Greece,2020,6193
Greece,2021,13666
Greece,2022,20094
Grenada,1995,76
Grenada,2005,71
Grenada,2010,112
Grenada,2020,186
Grenada,2021,232
Grenada,2022,569
Guadeloupe,1995,458
Guadeloupe,2005,306
Guadeloupe,2010,510
Guatemala,1995,216
Guatemala,2005,791
Guatemala,2010,1053
Guatemala,2020,329
Guatemala,2021,393
Guatemala,2022,992
Guinea,1995,1
Guinea,2010,2
Guinea,2020,1
Guinea,2021,13
Guinea,2022,11
Guinea-Bissau,2005,2
Guinea-Bissau,2010,13
Guinea-Bissau,2020,3
Guinea-Bissau,2021,16
Guyana,1995,33
Guyana,2005,35
Guyana,2010,80
Guyana,2020,24
Guyana,2021,26
Haiti,1995,90
Haiti,2005,80
Haiti,2010,383
Haiti,2020,102
Haiti,2021,110
Haiti,2022,73
Honduras,1995,85
Honduras,2005,465
Honduras,2010,627
Honduras,2020,157
Honduras,2021,305
Honduras,2022,552
Hungary,1995,2938
Hungary,2005,4761
Hungary,2010,6595
Hungary,2020,4223
Hungary,2021,5791
Hungary,2022,8984
Iceland,1995,186
Iceland,2005,413
Iceland,2010,562
Iceland,2020,654
Iceland,2021,1303
Iceland,2022,2468
India,2005,7659
India,2020,13413
India,2021,9135
India,2022,22410
Indonesia,2005,5094
Indonesia,2010,7618
Indonesia,2020,3603
Indonesia,2021,548
Indonesia,2022,7036
Iran (Islamic Republic of),1995,205
Iran (Islamic Republic of),2005,1025
Iran (Islamic Republic of),2010,2631
Iraq,2005,186
Iraq,2010,1736
Iraq,2020,955
Iraq,2021,1963
Ireland,1995,2698
Ireland,2005,6779
Ireland,2010,8185
Ireland,2020,4665
Ireland,2021,5207
Ireland,2022,14186
Israel,1995,3491
Israel,2005,3750
Israel,2010,5638
Israel,2020,2629
Israel,2021,2356
Israel,2022,6266
Italy,1995,30411
Italy,2005,38364
Italy,2020,20317
Italy,2021,25355
Italy,2022,44848
Jamaica,1995,1069
Jamaica,2005,1545
Jamaica,2010,2001
Jamaica,2020,1256
Jamaica,2021,2095
Jamaica,2022,3621
Japan,1995,4894
Japan,2005,15554
Japan,2010,15356
Japan,2020,11396
Japan,2021,5351
Japan,2022,10633
Jordan,1995,973
Jordan,2005,1759
Jordan,2010,4390
Jordan,2020,1745
Jordan,2021,3426
Jordan,2022,6913
Kazakhstan,1995,155
Kazakhstan,2005,801
Kazakhstan,2010,1236
Kazakhstan,2020,743
Kazakhstan,2021,761
Kazakhstan,2022,1734
Kenya,1995,785
Kenya,2005,969
Kenya,2010,1620
Kenya,2020,739
Kenya,2021,1222
Kenya,2022,1704
Kiribati,2010,4
Kiribati,2020,0
Kiribati,2021,0
Kiribati,2022,2
Kuwait,1995,307
Kuwait,2005,413
Kuwait,2010,574
Kuwait,2020,526
Kuwait,2021,708
Kuwait,2022,1687
Kyrgyzstan,2005,94
Kyrgyzstan,2010,212
Kyrgyzstan,2020,195
Kyrgyzstan,2021,259
Kyrgyzstan,2022,827
