Country,Year,Value
Afghanistan,2005,7.9
Afghanistan,2010,7.9
Afghanistan,2015,9
Afghanistan,2024,16.3
Albania,2005,16
Albania,2010,14.1
Albania,2015,17.2
Albania,2024,10.8
Algeria,2005,15.3
Algeria,2010,10
Algeria,2015,11.2
Algeria,2024,12.1
American Samoa,2000,5.1
American Samoa,2010,9.2
Angola,2005,16.2
Angola,2010,16.6
Angola,2015,16.4
Angola,2024,14.1
Argentina,2005,11.5
Argentina,2010,7.7
Argentina,2015,7.6
Argentina,2024,6.7
Armenia,2005,10.1
Armenia,2010,10.9
Armenia,2015,12.3
Armenia,2024,8.3
Aruba,2001,6.9
Aruba,2010,10.6
Australia,2005,5
Australia,2010,5.2
Australia,2015,6.1
Australia,2024,3.8
Austria,2005,5.7
Austria,2010,4.9
Austria,2015,5.8
Austria,2024,5.7
Azerbaijan,2005,7.3
Azerbaijan,2010,5.6
Azerbaijan,2015,5
Azerbaijan,2024,5.7
Bahamas,2005,10.2
Bahamas,2010,14.4
Bahamas,2015,12
Bahamas,2024,9.4
Bahrain,2005,1.1
Bahrain,2010,1.1
Bahrain,2015,1.2
Bahrain,2024,1.3
Bangladesh,2005,4.3
Bangladesh,2010,3.4
Bangladesh,2015,4.4
Bangladesh,2024,4.2
Barbados,2005,9.1
Barbados,2010,10.7
Barbados,2015,9.8
Barbados,2024,7.6
Belarus,2005,8.7
Belarus,2010,6.1
Belarus,2015,5.9
Belarus,2024,3.4
Belgium,2005,8.4
Belgium,2010,8.3
Belgium,2015,8.5
Belgium,2024,5.5
Belize,2005,10.9
Belize,2010,8.4
Belize,2015,7.6
Belize,2024,8
Benin,2005,0.9
Benin,2010,1
Benin,2015,1.8
Benin,2024,1.4
Bermuda,2000,2.7
Bermuda,2009,4.5
Bermuda,2012,8.4
Bermuda,2013,6.7
Bhutan,2005,3.1
Bhutan,2010,3.3
Bhutan,2015,2.5
Bhutan,2024,6.1
Bolivia (Plurin. State of),2005,2.6
Bolivia (Plurin. State of),2010,2.6
Bolivia (Plurin. State of),2015,3.1
Bolivia (Plurin. State of),2024,4.1
Bosnia and Herzegovina,2005,30.2
Bosnia and Herzegovina,2010,27.3
Bosnia and Herzegovina,2015,27.7
Bosnia and Herzegovina,2024,11.6
Botswana,2005,19.9
Botswana,2010,17.9
Botswana,2015,18.9
Botswana,2024,23.5
Brazil,2005,10.6
Brazil,2010,8.4
Brazil,2015,8.5
Brazil,2024,7.6
Brunei Darussalam,2005,6
Brunei Darussalam,2010,6.5
Brunei Darussalam,2015,7.7
Brunei Darussalam,2024,4.4
Bulgaria,2005,10.1
Bulgaria,2010,10.3
Bulgaria,2015,9.1
Bulgaria,2024,3.9
Burkina Faso,2005,4
Burkina Faso,2010,3.7
Burkina Faso,2015,4.5
Burkina Faso,2024,4.9
Burundi,2005,3.2
Burundi,2010,1.6
Burundi,2015,1.5
Burundi,2024,0.8
Cabo Verde,2005,13.5
Cabo Verde,2010,10.7
Cabo Verde,2015,12
Cabo Verde,2024,11.9
Cambodia,2005,1.1
Cambodia,2010,0.8
Cambodia,2015,0.4
Cambodia,2024,0.2
Cameroon,2005,4.4
Cameroon,2010,4.1
Cameroon,2015,3.5
Cameroon,2024,3.7
Canada,2005,6.8
Canada,2010,8.2
Canada,2015,7
Canada,2024,6
Cayman Islands,2005,3.5
Cayman Islands,2009,6
Cayman Islands,2010,6.7
Cayman Islands,2013,6.3
Central African Republic,2005,5.7
Central African Republic,2010,5.8
Central African Republic,2015,6
Central African Republic,2024,6.2
Chad,2005,0.6
Chad,2010,0.8
Chad,2015,0.9
Chad,2024,0.9
Channel Islands,2005,5.8
Channel Islands,2010,7
Channel Islands,2015,8
Channel Islands,2024,6
Chile,2005,9.3
Chile,2010,8.4
Chile,2015,6.5
Chile,2024,9.3
China,2005,4.5
China,2010,4.5
China,2015,4.7
China,2024,5
"China, Hong Kong SAR",2005,5.6
"China, Hong Kong SAR",2010,4.3
"China, Hong Kong SAR",2015,3.3
"China, Hong Kong SAR",2024,3.9
"China, Macao SAR",2005,4.2
"China, Macao SAR",2010,2.8
"China, Macao SAR",2015,1.8
"China, Macao SAR",2024,1.1
Colombia,2005,11.1
Colombia,2010,11.2
Colombia,2015,8.6
Colombia,2024,9.2
Comoros,2005,4.6
Comoros,2010,4.6
Comoros,2015,4.9
Comoros,2024,5.6
Congo,2005,19.8
Congo,2010,19.2
Congo,2015,20.3
Congo,2024,19.5
Cook Islands,2006,6.9
Cook Islands,2011,8.2
Costa Rica,2005,6.8
Costa Rica,2010,7.2
Costa Rica,2015,8.4
Costa Rica,2024,8
Côte d’Ivoire,2005,6.2
Côte d’Ivoire,2010,6.6
Côte d’Ivoire,2015,2.5
Côte d’Ivoire,2024,2.4
Croatia,2005,12.6
Croatia,2010,11.6
Croatia,2015,16.2
Croatia,2024,6.2
Cuba,2005,2
Cuba,2010,2.5
Cuba,2015,2.4
Cuba,2024,1.1
Curaçao,2005,18.2
Curaçao,2008,10.3
Curaçao,2009,9.6
Curaçao,2013,13
Cyprus,2005,5.5
Cyprus,2010,6.4
Cyprus,2015,15
Cyprus,2024,6.4
Czechia,2005,7.9
Czechia,2010,7.3
Czechia,2015,5.1
Czechia,2024,2.6
Dem. People's Rep. Korea,2005,3
Dem. People's Rep. Korea,2010,2.9
Dem. People's Rep. Korea,2015,2.9
Dem. People's Rep. Korea,2024,3
Dem. Rep. of the Congo,2005,3
Dem. Rep. of the Congo,2010,4.1
Dem. Rep. of the Congo,2015,4.4
Dem. Rep. of the Congo,2024,4.5
Denmark,2005,4.8
Denmark,2010,7.8
Denmark,2015,6.3
Denmark,2024,4.9
Djibouti,2005,26.8
Djibouti,2010,26.6
Djibouti,2015,26.1
Djibouti,2024,26
Dominican Republic,2005,6.6
Dominican Republic,2010,5.2
Dominican Republic,2015,7.6
Dominican Republic,2024,5.5
Ecuador,2005,3.8
Ecuador,2010,4.1
